Australian Bureau of Statistics,,
,,
"2016 Census - Counting Employed Persons, Place of Work (POW)",,
SA2 (POW),,
Counting: Persons Aged 15 Years and Over Place of Work,,
,,
Filters:,,
Default Summation,Persons Aged 15 Years and Over Place of Work,
,,
Counting,SA2 (POW),Count
Persons Aged 15 Years and Over Place of Work,Braidwood,1048
Persons Aged 15 Years and Over Place of Work,Karabar,793
Persons Aged 15 Years and Over Place of Work,Queanbeyan,5421
Persons Aged 15 Years and Over Place of Work,Queanbeyan - East,2715
Persons Aged 15 Years and Over Place of Work,Queanbeyan Region,2864
Persons Aged 15 Years and Over Place of Work,Queanbeyan West - Jerrabomberra,2114
Persons Aged 15 Years and Over Place of Work,Bombala,1031
Persons Aged 15 Years and Over Place of Work,Cooma,3416
Persons Aged 15 Years and Over Place of Work,Cooma Region,682
Persons Aged 15 Years and Over Place of Work,Jindabyne - Berridale,4537
Persons Aged 15 Years and Over Place of Work,Batemans Bay,4193
Persons Aged 15 Years and Over Place of Work,Batemans Bay - South,1147
Persons Aged 15 Years and Over Place of Work,Bega - Tathra,5097
Persons Aged 15 Years and Over Place of Work,Bega-Eden Hinterland,1397
Persons Aged 15 Years and Over Place of Work,Broulee - Tomakin,696
Persons Aged 15 Years and Over Place of Work,Deua - Wadbilliga,3
Persons Aged 15 Years and Over Place of Work,Eden,1318
Persons Aged 15 Years and Over Place of Work,Eurobodalla Hinterland,745
Persons Aged 15 Years and Over Place of Work,Merimbula - Tura Beach,3574
Persons Aged 15 Years and Over Place of Work,Moruya - Tuross Head,3323
Persons Aged 15 Years and Over Place of Work,Narooma - Bermagui,2470
Persons Aged 15 Years and Over Place of Work,Goulburn,9958
Persons Aged 15 Years and Over Place of Work,Goulburn Region,3410
Persons Aged 15 Years and Over Place of Work,Yass,2223
Persons Aged 15 Years and Over Place of Work,Yass Region,2291
Persons Aged 15 Years and Over Place of Work,Young,4377
Persons Aged 15 Years and Over Place of Work,Young Region,2395
Persons Aged 15 Years and Over Place of Work,Avoca Beach - Copacabana,1086
Persons Aged 15 Years and Over Place of Work,Box Head - MacMasters Beach,1338
Persons Aged 15 Years and Over Place of Work,Calga - Kulnura,5234
Persons Aged 15 Years and Over Place of Work,Erina - Green Point,9451
Persons Aged 15 Years and Over Place of Work,Gosford - Springfield,18833
Persons Aged 15 Years and Over Place of Work,Kariong,1311
Persons Aged 15 Years and Over Place of Work,Kincumber - Picketts Valley,2163
Persons Aged 15 Years and Over Place of Work,Narara,727
Persons Aged 15 Years and Over Place of Work,Niagara Park - Lisarow,2675
Persons Aged 15 Years and Over Place of Work,Point Clare - Koolewong,848
Persons Aged 15 Years and Over Place of Work,Saratoga - Davistown,704
