Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (POW) by HEAP - 1 Digit Level"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","SA2 (POW)","HEAP - 1 Digit Level","Count",
"Persons Aged 15 Years and Over Place of Work","Braidwood","Bachelor Degree Level",181
"Persons Aged 15 Years and Over Place of Work","Braidwood","Certificate III & IV Level",238
"Persons Aged 15 Years and Over Place of Work","Braidwood","Postgraduate Degree Level",57
"Persons Aged 15 Years and Over Place of Work","Braidwood","Graduate Diploma and Graduate Certificate Level",30
"Persons Aged 15 Years and Over Place of Work","Braidwood","Advanced Diploma and Diploma Level",96
"Persons Aged 15 Years and Over Place of Work","Braidwood","Secondary Education - Years 10 and above",299
"Persons Aged 15 Years and Over Place of Work","Braidwood","Certificate I & II Level",0
"Persons Aged 15 Years and Over Place of Work","Braidwood","Secondary Education - Years 9 and below",57
"Persons Aged 15 Years and Over Place of Work","Braidwood","Supplementary Codes",46
"Persons Aged 15 Years and Over Place of Work","Braidwood","Not stated",39
"Persons Aged 15 Years and Over Place of Work","Braidwood","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Braidwood","Total",1048
"Persons Aged 15 Years and Over Place of Work","Karabar","Bachelor Degree Level",135
"Persons Aged 15 Years and Over Place of Work","Karabar","Certificate III & IV Level",170
"Persons Aged 15 Years and Over Place of Work","Karabar","Postgraduate Degree Level",42
"Persons Aged 15 Years and Over Place of Work","Karabar","Graduate Diploma and Graduate Certificate Level",55
"Persons Aged 15 Years and Over Place of Work","Karabar","Advanced Diploma and Diploma Level",86
"Persons Aged 15 Years and Over Place of Work","Karabar","Secondary Education - Years 10 and above",227
"Persons Aged 15 Years and Over Place of Work","Karabar","Certificate I & II Level",0
"Persons Aged 15 Years and Over Place of Work","Karabar","Secondary Education - Years 9 and below",33
"Persons Aged 15 Years and Over Place of Work","Karabar","Supplementary Codes",29
"Persons Aged 15 Years and Over Place of Work","Karabar","Not stated",11
"Persons Aged 15 Years and Over Place of Work","Karabar","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Karabar","Total",793
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Bachelor Degree Level",987
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Certificate III & IV Level",1051
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Postgraduate Degree Level",370
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Graduate Diploma and Graduate Certificate Level",173
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Advanced Diploma and Diploma Level",597
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Secondary Education - Years 10 and above",1777
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Certificate I & II Level",3
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Secondary Education - Years 9 and below",162
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Supplementary Codes",170
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Not stated",118
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Total",5421
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Bachelor Degree Level",244
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Certificate III & IV Level",889
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Postgraduate Degree Level",78
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Graduate Diploma and Graduate Certificate Level",16
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Advanced Diploma and Diploma Level",207
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Secondary Education - Years 10 and above",979
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Certificate I & II Level",3
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Secondary Education - Years 9 and below",174
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Supplementary Codes",67
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Not stated",49
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Total",2715
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Bachelor Degree Level",455
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Certificate III & IV Level",626
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Postgraduate Degree Level",278
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Graduate Diploma and Graduate Certificate Level",83
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Advanced Diploma and Diploma Level",348
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Secondary Education - Years 10 and above",835
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Certificate I & II Level",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Secondary Education - Years 9 and below",88
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Supplementary Codes",62
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Not stated",84
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Total",2864
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Bachelor Degree Level",220
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Certificate III & IV Level",721
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Postgraduate Degree Level",63
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Graduate Diploma and Graduate Certificate Level",39
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Advanced Diploma and Diploma Level",182
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Secondary Education - Years 10 and above",693
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Certificate I & II Level",5
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Secondary Education - Years 9 and below",97
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Supplementary Codes",53
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Not stated",35
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Total",2114
"Persons Aged 15 Years and Over Place of Work","Bombala","Bachelor Degree Level",123
"Persons Aged 15 Years and Over Place of Work","Bombala","Certificate III & IV Level",252
"Persons Aged 15 Years and Over Place of Work","Bombala","Postgraduate Degree Level",11
"Persons Aged 15 Years and Over Place of Work","Bombala","Graduate Diploma and Graduate Certificate Level",19
"Persons Aged 15 Years and Over Place of Work","Bombala","Advanced Diploma and Diploma Level",90
"Persons Aged 15 Years and Over Place of Work","Bombala","Secondary Education - Years 10 and above",372
"Persons Aged 15 Years and Over Place of Work","Bombala","Certificate I & II Level",6
"Persons Aged 15 Years and Over Place of Work","Bombala","Secondary Education - Years 9 and below",76
"Persons Aged 15 Years and Over Place of Work","Bombala","Supplementary Codes",33
"Persons Aged 15 Years and Over Place of Work","Bombala","Not stated",52
"Persons Aged 15 Years and Over Place of Work","Bombala","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Bombala","Total",1031
"Persons Aged 15 Years and Over Place of Work","Cooma","Bachelor Degree Level",521
"Persons Aged 15 Years and Over Place of Work","Cooma","Certificate III & IV Level",841
"Persons Aged 15 Years and Over Place of Work","Cooma","Postgraduate Degree Level",113
"Persons Aged 15 Years and Over Place of Work","Cooma","Graduate Diploma and Graduate Certificate Level",79
"Persons Aged 15 Years and Over Place of Work","Cooma","Advanced Diploma and Diploma Level",369
"Persons Aged 15 Years and Over Place of Work","Cooma","Secondary Education - Years 10 and above",1064
"Persons Aged 15 Years and Over Place of Work","Cooma","Certificate I & II Level",4
