Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2016 Census - Counting Employed Persons, Place of Work (POW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA2 (POW) by INDP - 2 Digit Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counting: Persons Aged 15 Years and Over Place of Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Summation,Persons Aged 15 Years and Over Place of Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDP - 2 Digit Level,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
SA2 (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braidwood,8,217,0,4,0,15,0,0,0,0,5,0,0,29,0,3,8,0,0,0,0,0,0,0,0,0,0,4,0,8,0,3,0,5,25,12,34,0,12,0,0,0,4,4,4,0,6,33,31,0,0,19,57,0,17,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,7,0,4,0,0,13,0,49,8,0,6,7,0,38,3,3,4,80,4,9,8,24,26,5,9,0,4,18,9,0,0,18,18,0,41,11,0,1048
Karabar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,17,0,64,0,3,8,0,0,0,0,0,0,0,54,22,0,0,3,44,0,15,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,21,7,0,3,27,0,22,4,12,3,230,6,6,3,3,12,0,82,0,0,0,7,5,0,8,16,0,20,12,0,793
Queanbeyan,0,9,0,0,0,0,0,0,0,0,3,0,42,19,4,0,16,0,0,3,0,0,17,4,28,10,14,17,0,93,0,6,13,29,98,24,330,10,19,0,23,12,4,0,15,9,14,296,323,0,0,40,323,6,58,0,0,0,0,32,5,0,0,5,0,0,0,16,4,11,0,45,10,11,0,4,123,0,194,14,0,49,56,5,713,60,158,3,335,10,31,23,266,287,253,240,5,18,3,31,3,0,94,132,0,160,75,0,5421
Queanbeyan - East,0,4,0,0,0,0,0,0,0,0,13,3,63,14,25,0,70,0,8,0,5,12,30,92,70,27,24,47,0,22,0,3,19,47,101,78,362,7,40,14,9,13,21,0,4,37,17,13,93,0,0,37,240,16,168,0,0,4,0,18,8,4,0,0,0,0,0,0,0,0,0,0,0,4,3,42,4,0,107,6,0,16,46,0,59,26,36,0,54,9,7,0,0,5,6,25,0,4,3,16,0,0,156,14,0,128,33,0,2715
Queanbeyan Region,4,241,0,5,0,7,4,0,0,13,33,3,7,24,12,3,3,0,0,0,0,3,4,5,6,3,5,13,0,17,0,3,31,29,132,23,213,0,19,0,0,5,6,0,10,3,6,74,62,0,0,41,137,10,46,0,0,0,0,10,5,0,0,9,0,0,0,15,0,0,4,12,3,12,0,3,24,0,161,48,0,30,67,4,108,557,23,0,99,18,28,0,3,39,0,43,0,13,16,16,0,0,43,50,0,105,31,0,2864
Queanbeyan West - Jerrabomberra,0,3,0,0,0,0,0,0,0,0,0,0,41,26,3,4,50,0,12,0,0,0,10,26,6,0,40,33,0,0,0,5,50,38,130,26,379,3,22,7,4,10,11,0,6,3,13,84,38,0,0,3,54,6,76,0,0,3,0,28,15,6,5,3,4,0,0,9,6,4,0,3,5,13,0,10,17,4,117,14,0,8,27,0,10,10,18,0,93,3,30,0,4,46,0,83,0,4,6,9,0,0,87,36,3,108,35,0,2114
Bombala,0,226,0,53,0,12,0,0,0,0,0,0,5,6,0,0,79,0,0,0,0,0,0,3,0,0,4,8,0,10,0,0,3,5,9,8,30,0,11,0,0,0,0,4,0,11,3,42,25,0,0,11,51,4,33,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,28,0,0,12,11,0,56,0,8,0,76,0,0,3,36,21,25,12,0,8,0,4,0,0,17,10,0,21,11,0,1031
Cooma,0,70,0,0,0,7,0,0,0,0,0,0,5,79,0,0,9,0,4,0,0,0,0,14,4,0,0,3,0,214,0,3,11,7,38,15,102,0,57,3,0,14,3,10,14,56,40,139,269,0,3,67,269,9,69,0,0,0,0,35,4,0,0,10,6,4,0,14,0,3,0,30,7,10,0,39,35,0,155,3,0,41,37,0,173,61,100,5,254,34,17,11,134,135,109,75,0,10,6,9,0,0,89,43,0,63,37,0,3416
Cooma Region,0,286,0,5,0,19,0,0,0,5,9,4,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,12,3,33,0,0,0,4,0,0,0,0,5,4,12,3,0,0,41,34,7,17,0,0,5,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,13,0,0,10,10,0,8,0,0,0,23,0,6,0,0,4,0,0,0,0,3,0,0,0,4,4,0,26,7,0,682
Jindabyne - Berridale,3,185,8,0,5,0,0,0,0,0,0,4,5,44,9,0,9,0,3,0,0,0,3,12,0,0,0,3,0,35,0,9,20,10,60,10,92,3,24,5,0,5,9,0,22,5,17,85,126,5,11,1006,442,13,26,5,0,6,45,13,4,0,0,4,8,10,0,0,0,0,0,15,0,0,0,83,55,5,84,7,0,54,106,0,168,0,24,11,175,6,133,0,6,78,15,35,7,65,5,694,3,0,48,55,0,110,39,0,4537
Batemans Bay,0,7,39,32,12,7,0,0,0,0,0,0,14,24,0,4,27,0,7,0,0,0,9,19,23,4,3,14,0,0,0,8,5,15,79,14,177,4,35,7,16,19,0,0,20,58,15,229,494,0,0,115,453,3,96,0,5,0,6,43,9,0,0,10,4,3,0,10,4,0,0,56,11,12,0,11,82,0,105,7,0,74,55,0,266,0,147,9,122,43,28,5,119,123,145,128,0,10,0,21,0,0,136,109,0,133,47,0,4193
Batemans Bay - South,0,4,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,6,52,0,55,0,3,0,0,0,5,0,0,5,5,68,48,0,0,42,58,0,4,0,0,0,0,6,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,32,0,65,8,0,11,48,0,22,0,5,0,166,8,8,0,0,65,175,22,0,4,14,4,0,0,0,35,0,25,10,0,1147
Bega - Tathra,0,113,7,0,0,14,0,0,0,0,0,0,8,697,0,0,5,0,3,0,0,0,4,3,6,3,3,3,0,43,0,20,29,6,58,35,129,3,53,4,0,3,0,4,18,93,19,192,281,4,5,65,282,7,78,0,0,0,0,39,3,0,0,13,3,22,0,20,0,5,0,53,13,13,0,10,46,0,178,11,0,77,51,4,362,4,73,9,332,33,36,32,419,263,123,210,0,5,9,32,0,0,75,65,0,90,64,0,5097
Bega-Eden Hinterland,0,486,28,8,3,9,0,0,0,0,0,0,3,10,0,3,3,0,0,0,4,3,5,0,0,4,0,11,0,0,0,0,3,15,42,9,91,0,16,14,0,0,9,0,3,0,0,16,39,0,0,12,42,5,23,0,0,0,0,11,0,13,0,3,0,0,0,0,0,0,0,7,0,3,0,4,0,0,50,19,0,10,21,0,10,8,6,0,79,0,12,3,0,14,7,29,0,11,13,0,0,0,24,8,0,54,19,0,1397
Broulee - Tomakin,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,28,0,48,0,0,0,0,0,0,0,0,3,10,34,13,0,0,39,74,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,30,8,0,6,20,0,4,0,0,0,169,0,11,0,5,12,57,32,0,3,3,10,0,0,3,10,0,11,6,0,696
