Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2011 Census - Counting Employed Persons, Place of Work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Statistical Area Structure (Main ASGS) (POW) by INDP Industry of Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Counting: Persons, Place of Work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Summation,"Persons, Place of Work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDP Industry of Employment,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
Main Statistical Area Structure (Main ASGS) (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goulburn,0,36,0,0,3,6,0,0,0,0,5,3,44,191,3,21,28,0,15,0,3,3,22,40,46,42,37,14,0,67,0,10,18,12,119,44,249,13,82,37,5,48,42,15,46,119,52,446,668,0,0,145,675,7,208,53,0,0,0,45,5,90,0,36,22,15,0,21,3,3,3,129,14,34,0,27,119,0,333,4,0,84,96,0,490,0,714,16,533,201,71,77,470,333,337,394,0,6,12,51,0,0,191,185,0,62,5,0,9007
Goulburn Region,3,991,0,0,4,35,0,3,0,0,47,0,11,26,3,8,9,0,0,0,40,3,80,7,4,14,4,4,0,22,4,6,3,6,47,35,131,0,27,4,0,10,0,6,10,7,48,69,69,0,0,44,157,0,86,0,0,8,0,19,0,0,0,6,0,3,0,0,0,3,0,9,6,5,0,3,6,0,106,6,0,12,44,0,111,0,6,7,169,6,18,13,41,36,69,45,3,10,4,17,0,0,51,36,4,33,0,0,3034
Yass,0,101,0,0,0,4,0,0,0,0,0,0,11,3,0,3,5,0,3,0,3,0,6,3,0,4,0,0,0,81,0,3,7,3,29,12,77,0,27,4,0,3,3,7,15,17,15,114,130,0,0,53,181,0,41,0,0,0,0,11,0,0,0,7,0,0,0,4,0,0,0,22,5,0,0,4,16,0,97,7,0,5,25,0,157,0,29,4,167,5,16,17,40,59,135,70,0,3,3,5,0,0,30,37,0,10,0,0,1968
Yass Region,0,626,0,0,0,30,0,0,0,4,16,0,8,12,44,5,3,0,0,0,3,0,13,0,0,3,0,8,0,3,0,6,3,0,36,25,131,3,18,7,5,0,13,3,8,0,21,20,36,0,0,62,131,4,44,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,11,0,82,18,0,21,20,0,27,0,6,0,62,6,24,3,0,11,0,23,0,3,21,10,0,0,30,20,0,19,3,0,1805
Young,4,325,0,0,0,24,3,0,0,0,3,0,36,104,5,0,28,0,3,27,22,0,20,26,56,9,5,9,0,32,10,7,13,0,68,12,157,9,77,43,3,24,12,7,23,92,23,209,411,0,0,49,225,0,107,0,0,0,32,21,3,3,0,11,0,6,0,9,0,0,0,71,21,20,0,12,28,0,157,0,0,44,31,0,142,0,48,0,281,44,38,38,172,124,88,164,0,3,3,20,0,0,88,100,0,34,3,0,4171
Young Region,8,927,0,0,0,31,5,0,0,0,9,0,5,41,0,3,0,0,0,0,0,5,21,4,6,0,3,3,0,16,0,5,7,0,32,11,38,0,33,3,0,14,3,3,5,9,9,64,54,0,0,21,66,0,78,0,0,0,0,13,0,4,0,3,0,0,0,0,0,0,0,22,3,0,0,8,13,0,30,3,0,4,21,0,105,0,12,4,163,3,8,18,49,31,40,19,0,3,0,12,0,0,27,34,0,17,5,0,2217
Braidwood,0,209,0,3,0,7,0,0,0,0,3,6,0,25,3,5,9,0,3,0,0,0,3,4,3,0,0,3,0,10,0,0,0,0,23,3,26,0,14,0,0,3,0,3,6,0,4,31,35,0,0,22,46,0,34,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,5,0,3,0,0,5,0,44,9,0,6,14,0,43,0,3,4,69,0,13,4,36,21,7,9,0,3,20,0,0,0,19,19,3,4,0,0,945
Karabar,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,22,9,50,0,0,0,0,0,0,0,0,0,3,70,26,0,0,7,41,0,16,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,5,0,25,6,0,11,31,0,30,0,9,3,224,0,12,0,4,10,0,62,0,0,0,3,3,0,10,18,0,6,0,0,764
Queanbeyan,0,4,0,0,0,0,0,0,0,0,0,0,21,15,18,0,12,0,0,0,0,3,3,10,24,10,17,4,0,177,0,10,3,8,66,9,96,3,14,9,14,12,3,0,14,24,16,316,320,0,0,43,250,0,33,0,0,0,3,11,3,0,0,7,3,0,0,10,0,6,7,48,4,7,0,7,109,0,217,14,0,39,20,0,530,17,139,5,221,6,17,48,209,218,173,176,0,10,4,32,5,0,48,102,0,24,0,0,4093
Queanbeyan - East,0,0,0,0,0,3,0,0,0,0,3,0,63,3,0,3,111,0,10,0,18,8,73,79,101,10,67,49,0,37,0,4,42,46,88,100,243,10,52,18,16,17,12,0,4,42,20,3,140,7,0,36,131,12,209,0,0,0,0,15,4,3,0,0,3,0,0,5,0,0,0,0,0,0,0,23,4,0,74,11,0,8,58,0,49,42,75,3,50,11,4,3,0,5,3,15,0,4,3,22,0,0,128,13,0,35,3,0,2569
