Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (POW) by SIEMP Status in Employment"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","SA2 (POW)","SIEMP Status in Employment","Count",
"Persons Aged 15 Years and Over Place of Work","Braidwood","Employee",533
"Persons Aged 15 Years and Over Place of Work","Braidwood","Owner manager of incorporated enterprise with employees",50
"Persons Aged 15 Years and Over Place of Work","Braidwood","Owner manager of incorporated enterprise without employees",37
"Persons Aged 15 Years and Over Place of Work","Braidwood","Owner manager of incorporated enterprise - employees not stated",6
"Persons Aged 15 Years and Over Place of Work","Braidwood","Owner manager of unincorporated enterprise with employees",55
"Persons Aged 15 Years and Over Place of Work","Braidwood","Owner manager of unincorporated enterprise without employees",196
"Persons Aged 15 Years and Over Place of Work","Braidwood","Owner manager of unincorporated enterprise - employees not stated",4
"Persons Aged 15 Years and Over Place of Work","Braidwood","Contributing family worker",137
"Persons Aged 15 Years and Over Place of Work","Braidwood","Not stated",32
"Persons Aged 15 Years and Over Place of Work","Braidwood","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Braidwood","Total",1048
"Persons Aged 15 Years and Over Place of Work","Karabar","Employee",631
"Persons Aged 15 Years and Over Place of Work","Karabar","Owner manager of incorporated enterprise with employees",24
"Persons Aged 15 Years and Over Place of Work","Karabar","Owner manager of incorporated enterprise without employees",27
"Persons Aged 15 Years and Over Place of Work","Karabar","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Karabar","Owner manager of unincorporated enterprise with employees",18
"Persons Aged 15 Years and Over Place of Work","Karabar","Owner manager of unincorporated enterprise without employees",75
"Persons Aged 15 Years and Over Place of Work","Karabar","Owner manager of unincorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Karabar","Contributing family worker",8
"Persons Aged 15 Years and Over Place of Work","Karabar","Not stated",11
"Persons Aged 15 Years and Over Place of Work","Karabar","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Karabar","Total",793
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Employee",4786
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Owner manager of incorporated enterprise with employees",210
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Owner manager of incorporated enterprise without employees",80
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Owner manager of incorporated enterprise - employees not stated",6
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Owner manager of unincorporated enterprise with employees",84
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Owner manager of unincorporated enterprise without employees",169
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Owner manager of unincorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Contributing family worker",43
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Not stated",35
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan","Total",5421
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Employee",2277
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Owner manager of incorporated enterprise with employees",210
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Owner manager of incorporated enterprise without employees",46
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Owner manager of incorporated enterprise - employees not stated",3
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Owner manager of unincorporated enterprise with employees",30
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Owner manager of unincorporated enterprise without employees",86
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Owner manager of unincorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Contributing family worker",32
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Not stated",19
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan - East","Total",2715
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Employee",1915
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Owner manager of incorporated enterprise with employees",209
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Owner manager of incorporated enterprise without employees",149
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Owner manager of incorporated enterprise - employees not stated",10
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Owner manager of unincorporated enterprise with employees",99
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Owner manager of unincorporated enterprise without employees",305
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Owner manager of unincorporated enterprise - employees not stated",9
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Contributing family worker",140
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Not stated",32
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan Region","Total",2864
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Employee",1573
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Owner manager of incorporated enterprise with employees",210
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Owner manager of incorporated enterprise without employees",91
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Owner manager of unincorporated enterprise with employees",48
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Owner manager of unincorporated enterprise without employees",151
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Owner manager of unincorporated enterprise - employees not stated",3
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Contributing family worker",21
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Not stated",14
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Total",2114
"Persons Aged 15 Years and Over Place of Work","Bombala","Employee",709
"Persons Aged 15 Years and Over Place of Work","Bombala","Owner manager of incorporated enterprise with employees",55
"Persons Aged 15 Years and Over Place of Work","Bombala","Owner manager of incorporated enterprise without employees",21
"Persons Aged 15 Years and Over Place of Work","Bombala","Owner manager of incorporated enterprise - employees not stated",0
"Persons Aged 15 Years and Over Place of Work","Bombala","Owner manager of unincorporated enterprise with employees",58
"Persons Aged 15 Years and Over Place of Work","Bombala","Owner manager of unincorporated enterprise without employees",84
"Persons Aged 15 Years and Over Place of Work","Bombala","Owner manager of unincorporated enterprise - employees not stated",4
"Persons Aged 15 Years and Over Place of Work","Bombala","Contributing family worker",77
"Persons Aged 15 Years and Over Place of Work","Bombala","Not stated",18
"Persons Aged 15 Years and Over Place of Work","Bombala","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Bombala","Total",1031
"Persons Aged 15 Years and Over Place of Work","Cooma","Employee",2831
"Persons Aged 15 Years and Over Place of Work","Cooma","Owner manager of incorporated enterprise with employees",153
"Persons Aged 15 Years and Over Place of Work","Cooma","Owner manager of incorporated enterprise without employees",38
"Persons Aged 15 Years and Over Place of Work","Cooma","Owner manager of incorporated enterprise - employees not stated",7
